,id,name,shortName
111,112,Light American Wheat Ale or Lager with Yeast,Wheat Ale
112,113,Light American Wheat Ale or Lager without Yeast,Wheat Ale
113,114,Fruit Wheat Ale or Lager with or without Yeast,Fruit Wheat Ale
114,115,Dark American Wheat Ale or Lager with Yeast,Dark Wheat Ale
115,116,Dark American Wheat Ale or Lager without Yeast,Dark Wheat Ale
116,117,Rye Ale or Lager with or without Yeast,Rye Ale
117,118,German-Style Rye Ale (Roggenbier) with or without Yeast,German Rye
118,119,Fruit Beer,Fruit Beer
119,120,Field Beer,Field Beer
120,121,Pumpkin Beer,Pumpkin Beer
121,122,Chocolate / Cocoa-Flavored Beer,Chocolate Beer
122,123,Coffee-Flavored Beer,Coffee Beer
123,124,Herb and Spice Beer,Spice Beer
124,125,Specialty Beer,Specialty
125,126,Specialty Honey Lager or Ale,Honey Beer
126,127,Gluten-Free Beer,Gluten-Free Beer
127,128,Indigenous Beer (Lager or Ale),Indigenous Beer
128,129,Smoke Beer (Lager or Ale),Smoke Beer
129,130,Experimental Beer (Lager or Ale),Experimental Beer
130,131,Historical Beer,Traditional
131,132,Wood- and Barrel-Aged Beer,BBL Aged
132,133,Wood- and Barrel-Aged Pale to Amber Beer,BBL Aged Pale
133,134,Wood- and Barrel-Aged Dark Beer,BBL Aged Dark
134,135,Wood- and Barrel-Aged Strong Beer,BBL Aged Strong
135,136,Wood- and Barrel-Aged Sour Beer,BBL Aged Sour
136,137,Aged Beer (Ale or Lager),Aged Beer
137,138,Other Strong Ale or Lager,Strong Ale
138,139,Non-Alcoholic (Beer) Malt Beverages,Non-Alcoholic
139,140,Dry Mead,Dry Mead
140,141,Semi-Sweet Mead,Semi-Sweet Mead
141,142,Sweet Mead,Sweet Mead
142,143,Cyser (Apple Melomel),Cyser
143,144,Pyment (Grape Melomel),Pyment
144,145,Other Fruit Melomel,Fruit Melomel
145,146,Metheglin,Metheglin
146,147,Braggot,Braggot
147,148,Open Category Mead,Mead
148,149,Common Cider,Common Cider
149,150,English Cider,English Cider
150,151,French Cider,French Cider
151,152,Common Perry,Common Perry
152,153,Traditional Perry,Traditional Perry
153,154,New England Cider,New England Cider
154,155,Fruit Cider,Fruit Cider
155,156,Apple Wine,Apple Wine
156,157,Other Specialty Cider or Perry,Specialty Cider
157,158,American-Style Imperial Porter,American Imperial Porter
158,159,Adambier,Adambier
159,160,Grodziskie,Grodziskie
160,161,Flavored Malt Beverage,Flavored Malt Beverage
161,162,Energy Enhanced Malt Beverage,Energy Malt Beverage
162,163,Double Red Ale,Double Red
163,164,Session India Pale Ale,Session IPA
164,165,Contemporary Gose,Contemporary Gose
165,166,"Dutch-Style Kuit, Kuyt or Koyt",Dutch Kuit
166,167,Belgian-style Fruit Beer,Belgian Fruit
167,168,Chili Pepper Beer,Chili Beer
168,169,Mixed Culture Brett Beer,Mixed Brett
169,170,Wild Beer,Wild Beer
